Category,Category URL,Winners,Runner Ups
Best restaurant that's been around forever and is still worth the trip ,https://www.chicagoreader.com//chicago/BestOf?category=1979894&year=2011,Lula Cafe,Frontera Grill|Chicago Diner  |Sabatino’s|Twin Anchors
Best fancy restaurant in Chicago ,https://www.chicagoreader.com//chicago/best-fancy-restaurant-in-chicago/BestOf?oid=4088017,Alinea ,Blackbird|Girl & the Goat|Green Zebra|The Publican
Best bang for your buck ,https://www.chicagoreader.com//chicago/best-bang-for-your-buck/BestOf?oid=4088018,Big Star|Sultan’s Market,"Frasca Pizzeria & Wine Bar|Chutney Joe’s|""My boyfriend!"""
Best chef ,https://www.chicagoreader.com//chicago/best-chef/BestOf?oid=4088191,"Rick Bayless (Frontera Grill, Topolobampo, Xoco)","Grant Achatz (Alinea, Next, The Aviary)|Stephanie Izard (Girl & the Goat)"
Best up-and-coming chef ,https://www.chicagoreader.com//chicago/best-up-and-coming-chef/BestOf?oid=4088225,"Jeremy Kiens, 
Dunlays on Clark","Jimmy Bannos Jr., The Purple Pig|Cesar Pineda, Ciao Amore Ristorante|Rodney Staton, Bite Cafe"
Best food blog ,https://www.chicagoreader.com//chicago/best-food-blog/BestOf?oid=4088227,Eater Chicago,LTHForum|Sky Full of Bacon|312 Dining Diva
Best ampersand restaurant ,https://www.chicagoreader.com//chicago/best-ampersand-restaurant/BestOf?oid=4088228,Longman & Eagle ,Owen & Engine
Best restaurant name ,https://www.chicagoreader.com//chicago/best-restaurant-name/BestOf?oid=4088229,Girl & the Goat,Cibo Matto|The Smoke Daddy
Best new food trend ,https://www.chicagoreader.com//chicago/best-new-food-trend/BestOf?oid=4088231,Food trucks,Doughnuts|Cupcakes|Pork|Gastropubs|Small Plates|“Eating at home”
Best cocktail list ,https://www.chicagoreader.com//chicago/best-cocktail-list/BestOf?oid=4088236,The Whistler,The Violet Hour|Sable Kitchen & Bar  
Best mixologist ,https://www.chicagoreader.com//chicago/best-mixologist/BestOf?oid=4088461,"Paul McGee, the Whistler","Jonny Abens, Roof on the Wit"
Best wine list ,https://www.chicagoreader.com//chicago/best-wine-list/BestOf?oid=4088462,DOC Winebar,Webster’s Wine Bar|Rootstock Wine & Beer Bar
Best sommelier ,https://www.chicagoreader.com//chicago/best-sommelier/BestOf?oid=4088464,Alpana Singh,"Nick Luedde, The Tasting Room|Jeremy Quinn, Webster’s Wine Bar|Daniel Pilkey, Ria and Balsan "
Best brewpub ,https://www.chicagoreader.com//chicago/best-brewpub/BestOf?oid=4088465,Revolution Brewing Company,Goose Island Brewpub|Piece Brewery & Pizzeria
Best local brew ,https://www.chicagoreader.com//chicago/best-local-brew/BestOf?oid=4088468,Half Acre Daisy Cutter Pale Ale,Goose Island 312 Urban Wheat Ale|Goose Island Matilda
Best wine shop ,https://www.chicagoreader.com//chicago/best-wine-shop/BestOf?oid=4088469,Lush Wine & Spirits,In Fine Spirits|Life’s a Cabernet
Best liquor store ,https://www.chicagoreader.com//chicago/best-liquor-store/BestOf?oid=4088470,Binny’s Beverage Depot,Vas Foremost Liquors|West Lakeview Liquors
Best BYOB ,https://www.chicagoreader.com//chicago/best-byob/BestOf?oid=4088471,Tango Sur,Ciao Amore Ristorante|Coast Sushi |90 Miles Cuban Cafe
Best alfresco dining ,https://www.chicagoreader.com//chicago/best-alfresco-dining/BestOf?oid=4088472,Piccolo Sogno,Roof on the Wit|Big Star
Best late night ,https://www.chicagoreader.com//chicago/best-late-night/BestOf?oid=4088473,Lockdown Bar & Grill,Pick Me Up Cafe|Big Star
Best for kids ,https://www.chicagoreader.com//chicago/best-for-kids/BestOf?oid=4088474,Frasca Pizzeria & Wine Bar ,"Wishbone|Ed Debevic’s|Rainforest Cafe|“To be locked in a cold, dark, soundproof room”"
